iter	Logloss
0	0.6886170867
1	0.6845500472
2	0.6809771431
3	0.6773967047
4	0.6741144526
5	0.6714356442
6	0.6690771327
7	0.6666230493
8	0.6643161186
9	0.6625392135
10	0.6609225585
11	0.6593795789
12	0.6579123406
13	0.656676675
14	0.6550980427
15	0.6538588041
16	0.6527636282
17	0.6518451263
18	0.6507973299
19	0.6498898868
20	0.6490866436
21	0.6483204372
22	0.6476027163
23	0.6468938975
24	0.6461264545
25	0.6454816741
26	0.6449239326
27	0.6443885887
28	0.6438572182
29	0.643383608
30	0.6428995164
31	0.6423923462
32	0.6419841962
33	0.6415766285
34	0.6412670651
35	0.6408966956
36	0.6405984121
37	0.6402595358
38	0.6400046366
39	0.6396753153
40	0.6393739444
41	0.6391290551
42	0.6388033222
43	0.6385377462
44	0.6382617376
45	0.6380598585
46	0.6379028306
47	0.6376040733
48	0.6373153128
49	0.6370426615
50	0.6368199823
51	0.6365865329
52	0.6363551577
53	0.636130442
54	0.6358717072
55	0.635664157
56	0.635429898
57	0.6352060383
58	0.6350210561
59	0.6348412876
60	0.634650397
61	0.634501755
62	0.6343245082
63	0.6341938456
64	0.6340431671
65	0.6339012446
66	0.6337840317
67	0.6335840627
68	0.6334493465
69	0.6333177663
70	0.6331389122
71	0.63296539
72	0.6328202698
73	0.6326375664
74	0.6325202202
75	0.6324346609
76	0.6322851569
77	0.6321442236
78	0.6319887664
79	0.6318773498
80	0.6317498639
81	0.631627417
82	0.631462598
83	0.631308483
84	0.6311742398
85	0.6310289998
86	0.6308484199
87	0.630715989
88	0.6305746247
89	0.6304505001
90	0.6303311902
91	0.6301712884
92	0.6300416013
93	0.6298877897
94	0.6297576571
95	0.6296344227
96	0.6295484063
97	0.6293875642
98	0.629287896
99	0.62919292
