iter	Passed	Remaining
0	181	17919
1	204	10025
2	224	7245
3	242	5813
4	259	4928
5	275	4314
6	290	3861
7	305	3508
8	318	3224
9	332	2992
10	345	2796
11	358	2629
12	372	2491
13	385	2367
14	397	2252
15	409	2148
16	422	2063
17	435	1983
18	447	1905
19	459	1839
20	472	1776
21	484	1716
22	495	1659
23	507	1606
24	518	1556
25	531	1512
26	543	1470
27	556	1431
28	569	1394
29	583	1360
30	595	1325
31	607	1291
32	620	1259
33	633	1230
34	645	1199
35	657	1169
36	669	1140
37	682	1113
38	695	1088
39	706	1059
40	718	1033
41	730	1009
42	743	985
43	755	961
44	768	939
45	779	915
46	791	892
47	803	870
48	816	849
49	829	829
50	842	809
51	855	789
52	867	769
53	879	749
54	891	729
55	903	709
56	918	692
57	931	674
58	944	656
59	958	639
60	971	620
61	982	602
62	994	583
63	1006	566
64	1018	548
65	1030	530
66	1041	513
67	1054	496
68	1067	479
69	1079	462
70	1091	445
71	1103	429
72	1115	412
73	1127	396
74	1138	379
75	1150	363
76	1163	347
77	1175	331
78	1188	315
79	1199	299
80	1212	284
81	1223	268
82	1236	253
83	1249	237
84	1261	222
85	1274	207
86	1286	192
87	1299	177
88	1311	162
89	1323	147
90	1336	132
91	1348	117
92	1361	102
93	1374	87
94	1386	72
95	1399	58
96	1411	43
97	1424	29
98	1436	14
99	1448	0
